#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Incorporados de Ptos. Cerrados,En el Ejercicio,Total,Realizados,Pendientes de realizar,Derechos reconocidos,Anulación de liquidaciones,Aplazamiento y fraccionamiento. Corto Plazo.,Aplazamiento y fraccionamiento. Largo Plazo.,Derechos anulados por anulación de liquidaciones,Derechos anulados por insolvencia y otras causas,Devolucion de ingresos ptes. de pago a 1 de enero,Pendientes de pago a 1 de Enero,Reconocidos,Realización del pago,Derechos recaudados,Derechos pendientes de cobro
2016,,13000,Impuesto Actividades Economicas,75000,0,0,0,75000,0,0,0,0,0,72204.15,0,0,0,0,0,0,0,94.66,94.66,70204.79,1999.36
2016,,28200,"Impuesto sobre construcciones, instalaciones y obras",250000,0,0,0,250000,0,0,0,0,0,221116.29,0,0,0,0,0,0,0,638.95,638.95,221116.29,0
2016,,29100,Cotos de Caza y Pesca,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,,30200,Servicio de recogida de basura,340000,0,0,0,340000,0,0,0,0,0,285084.45,3431.71,0,0,0,0,0,0,1288.95,1229.74,250962.34,30690.4
2016,,30300,Eliminación y tratamiento de residuos vegetales,0,0,0,0,0,0,0,0,0,0,190210,7400,0,0,0,0,0,0,40.5,40.5,144914.81,37895.19
2016,,30500,Tasas Cementerio Municipal,1900,0,0,0,1900,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,4.24,0
2016,,30900,Otras tasas por prestacion de servicios basicos,3000,0,0,0,3000,0,0,0,0,0,140,0,0,0,0,0,0,0,133.65,133.65,140,0
2016,,31900,Tasas por Utilizacion Edificios Públicos,3000,0,0,0,3000,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,0,1860,0
2016,,32100,Licencias Urbanisticas,42000,0,0,0,42000,0,0,0,0,0,50429.18,0,0,0,0,0,0,0,0,0,50429.18,0
2016,,32200,Licencias primera ocupacion,2000,0,0,0,2000,0,0,0,0,0,1454.42,0,0,0,0,0,0,0,0,0,1454.42,0
2016,,32500,Tasa por expedicion de documentos,10000,0,0,0,10000,0,0,0,0,0,11551.5,0,0,0,0,0,0,0,639.44,639.44,11551.5,0
2016,,32600,Tasa por retirada de vehiculos,4000,0,0,0,4000,0,0,0,0,0,9576,0,0,0,0,0,0,0,276,276,9576,0
2016,,32700,Licencias de Autotaxis,500,0,0,0,500,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,238.2,121.8
2016,,33100,Tasa por vados,15500,0,0,0,15500,0,0,0,0,0,19435,0,0,0,0,0,0,0,0,0,14922,4513
2016,,33200,Tasa empresas explotadoras de servicios de suministros,334000,0,0,0,334000,0,0,0,0,0,351987.25,0,0,0,0,0,0,0,0,0,351987.25,0
2016,,33500,Tasa por aprovechamiento dominio público,20000,0,0,0,20000,0,0,0,0,0,18866.93,0,0,0,0,0,0,0,0,0,14741.93,4125
2016,,33501,Mercadillo,15000,0,0,0,15000,0,0,0,0,0,9512.5,0,0,0,0,0,0,0,0,0,8762.5,750
2016,,33800,"Compensacion de Tefónica de España, S.A.",80000,0,0,0,80000,0,0,0,0,0,70548.92,0,0,0,0,0,0,0,0,0,70548.92,0
2016,,34200,Precios Publicos servicios educativos,20000,0,0,0,20000,0,0,0,0,0,20423,0,0,0,0,0,0,0,0,0,20087,336
2016,,34400,Precios Publicos servicios culturales,10000,0,0,0,10000,0,0,0,0,0,16048.3,0,0,0,0,0,0,0,230,230,16048.3,0
2016,,34401,Actividades Juventud,50000,0,0,0,50000,0,0,0,0,0,61384.94,0,0,0,0,0,0,0,878.8,878.8,61384.94,0
2016,,34500,Servicio de Transporte publico urbano,20000,0,0,0,20000,0,0,0,0,0,30378,0,0,0,0,0,0,0,140,140,30378,0
2016,,39100,Multas por infracciones urbanísticas,1000,0,0,0,1000,0,0,0,0,0,9830,0,0,0,0,0,0,0,0,0,600,9230
2016,,39110,Multas por infracciones tributarias y análogas,1000,0,0,0,1000,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,210,0
2016,,39200,Recargos por declaración extemporánea sin requerimiento previo,15000,0,0,0,15000,0,0,0,0,0,6498.94,0,0,0,0,0,0,0,482.74,477.14,6498.94,0
2016,,39211,Recargo de apremio,0,0,0,0,0,0,0,0,0,0,4623.61,0,0,0,0,0,0,0,0,0,4623.61,0
2016,,39300,Intereses de demora,15000,0,0,0,15000,0,0,0,0,0,4263.67,0,0,0,0,0,0,0,5.21,5.21,4263.67,0
2016,,39710,Otros ingresos por aprovechamientos urbanísticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265331.28,0,0
2016,,39900,Recursos eventuales,6000,0,0,0,6000,0,0,0,0,0,3091.09,0,0,0,0,0,0,0,48,48,3091.09,0
2016,,39901,Ingresos procedentes del Reciclaje,15000,0,0,0,15000,0,0,0,0,0,61127.68,0,0,0,0,0,0,0,0,0,61127.68,0
2016,,39902,Recuperacion costas expedientes ejecutivos,6000,0,0,0,6000,0,0,0,0,0,844.8,0,0,0,0,0,0,0,0,0,844.8,0
2016,,42000,Participación en los Tributos del Estado,2062000,0,0,0,2062000,0,0,0,0,0,2306323.79,0,0,0,0,0,0,0,0,480407.48,2306323.79,0
2016,,45030,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación,60000,0,0,0,60000,0,0,0,0,0,116559.25,0,0,0,0,0,0,0,0,0,90506.17,26053.08
2016,,45060,Otras transferencias corrientes convenios con la Comunidad Autónoma,600000,0,0,0,600000,0,0,0,0,0,562612.92,0,0,0,0,0,0,0,233.33,233.33,251212.92,311400
2016,,45080,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma,0,0,0,0,0,0,0,0,0,0,11729.46,0,0,0,0,0,0,0,0,0,11729.46,0
2016,,4508010,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma. Subvenciones para gastos no financieros del ejercicio,0,8780.57,8780.57,0,8780.57,0,0,0,0,0,42779.84,0,0,0,0,0,0,0,4799.09,4799.09,7400.42,35379.42
2016,,45501,Subvenciones de la Administración General de la Comunidad Autónoma,0,0,0,0,0,0,0,0,0,0,50441.63,0,0,0,0,0,0,0,0,0,50441.63,0
2016,,47100,Subvenciones Empresas Privadas,0,14489,14489,0,14489,0,0,0,0,0,14489,0,0,0,0,0,0,0,0,0,14489,0
2016,,52000,Intereses de depósitos,100,0,0,0,100,0,0,0,0,0,182.9,0,0,0,0,0,0,0,0,0,182.9,0
2016,,53410,De sociedades y entidades no dependientes de las entidades locales,60000,0,0,0,60000,0,0,0,0,0,17215.66,0,0,0,0,0,0,0,0,0,17215.66,0
2016,,54200,Arrendamiento fincas rusticas,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,,55000,De concesiones administrativas,20000,0,0,0,20000,0,0,0,0,0,122830.75,43746.48,0,0,0,0,0,0,0,0,41382.9,37701.37
2016,,55100,De concesiones administrativas con contraprestación no periódica,3000,0,0,0,3000,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,4700,0
2016,,87000,Para gastos generales,0,1606179.81,1606179.81,0,1606179.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
